ds,y,y_lag365,y_lag730
2014-01-01,28,28,
2014-01-02,24,24,
2014-01-03,11,11,
2014-01-04,23,23,
2014-01-05,35,35,
2014-01-06,16,16,
2014-01-07,-2,-2,
2014-01-08,15,15,
2014-01-09,27,27,
2014-01-10,39,39,
2014-01-11,48,48,
2014-01-12,34,34,
2014-01-13,43,43,
2014-01-14,41,41,
2014-01-15,31,31,
2014-01-16,26,26,
2014-01-17,32,32,
2014-01-18,16,16,
2014-01-19,26,26,
2014-01-20,33,33,
2014-01-21,15,15,
2014-01-22,5,5,
2014-01-23,10,10,
2014-01-24,9,9,
2014-01-25,21,21,
2014-01-26,18,18,
2014-01-27,18,18,
2014-01-28,1,1,
2014-01-29,7,7,
2014-01-30,19,19,
2014-01-31,35,35,
2014-02-01,43,43,
2014-02-02,36,36,
2014-02-03,25,25,
2014-02-04,24,24,
2014-02-05,28,28,
2014-02-06,19,19,
2014-02-07,15,15,
2014-02-08,15,15,
2014-02-09,22,22,
2014-02-10,15,15,
2014-02-11,13,13,
2014-02-12,16,16,
2014-02-13,25,25,
2014-02-14,30,30,
2014-02-15,23,23,
2014-02-16,19,19,
2014-02-17,20,20,
2014-02-18,37,37,
2014-02-19,41,41,
2014-02-20,40,40,
2014-02-21,45,45,
2014-02-22,43,43,
2014-02-23,36,36,
2014-02-24,26,26,
2014-02-25,24,24,
2014-02-26,18,18,
2014-02-27,15,15,
2014-02-28,14,14,
2014-03-01,35,35,
2014-03-02,23,23,
2014-03-03,12,12,
2014-03-04,19,19,
2014-03-05,24,24,
2014-03-06,27,27,
2014-03-07,37,37,
2014-03-08,39,39,
2014-03-09,31,31,
2014-03-10,46,46,
2014-03-11,56,56,
2014-03-12,37,37,
2014-03-13,18,18,
2014-03-14,45,45,
2014-03-15,43,43,
2014-03-16,27,27,
2014-03-17,30,30,
2014-03-18,39,39,
2014-03-19,46,46,
2014-03-20,39,39,
2014-03-21,35,35,
2014-03-22,46,46,
2014-03-23,29,29,
2014-03-24,24,24,
2014-03-25,28,28,
