ds,y,y_lag365
2014-01-01,33,33
2014-01-02,30,30
2014-01-03,15,15
2014-01-04,37,37
2014-01-05,46,46
2014-01-06,49,49
2014-01-07,4,4
2014-01-08,23,23
2014-01-09,33,33
2014-01-10,46,46
2014-01-11,54,54
2014-01-12,36,36
2014-01-13,55,55
2014-01-14,48,48
2014-01-15,40,40
2014-01-16,32,32
2014-01-17,38,38
2014-01-18,21,21
2014-01-19,33,33
2014-01-20,36,36
2014-01-21,22,22
2014-01-22,11,11
2014-01-23,13,13
2014-01-24,19,19
2014-01-25,27,27
2014-01-26,36,36
2014-01-27,43,43
2014-01-28,7,7
2014-01-29,16,16
2014-01-30,33,33
2014-01-31,37,37
2014-02-01,52,52
2014-02-02,51,51
2014-02-03,31,31
2014-02-04,31,31
2014-02-05,34,34
2014-02-06,23,23
2014-02-07,21,21
2014-02-08,22,22
2014-02-09,28,28
2014-02-10,21,21
2014-02-11,21,21
2014-02-12,28,28
2014-02-13,31,31
2014-02-14,34,34
2014-02-15,28,28
2014-02-16,27,27
2014-02-17,32,32
2014-02-18,45,45
2014-02-19,50,50
2014-02-20,54,54
2014-02-21,55,55
2014-02-22,52,52
2014-02-23,42,42
2014-02-24,32,32
2014-02-25,26,26
2014-02-26,24,24
2014-02-27,21,21
2014-02-28,26,26
2014-03-01,47,47
2014-03-02,38,38
2014-03-03,19,19
2014-03-04,33,33
2014-03-05,31,31
2014-03-06,37,37
2014-03-07,53,53
2014-03-08,51,51
2014-03-09,40,40
2014-03-10,57,57
2014-03-11,66,66
2014-03-12,50,50
2014-03-13,26,26
2014-03-14,59,59
2014-03-15,54,54
2014-03-16,32,32
2014-03-17,36,36
2014-03-18,51,51
2014-03-19,53,53
2014-03-20,45,45
2014-03-21,45,45
2014-03-22,54,54
2014-03-23,36,36
2014-03-24,33,33
2014-03-25,38,38
2014-03-26,28,28
2014-03-27,54,54
2014-03-28,61,61
2014-03-29,54,54
2014-03-30,47,47
2014-03-31,61,61
2014-04-01,77,77
2014-04-02,60,60
2014-04-03,59,59
2014-04-04,65,65
2014-04-05,44,44
2014-04-06,55,55
2014-04-07,53,53
2014-04-08,59,59
2014-04-09,57,57
2014-04-10,71,71
2014-04-11,66,66
2014-04-12,73,73
2014-04-13,82,82
2014-04-14,74,74
2014-04-15,64,64
2014-04-16,43,43
2014-04-17,63,63
2014-04-18,67,67
2014-04-19,64,64
2014-04-20,72,72
2014-04-21,78,78
2014-04-22,70,70
2014-04-23,49,49
2014-04-24,59,59
2014-04-25,63,63
2014-04-26,69,69
2014-04-27,63,63
2014-04-28,58,58
2014-04-29,59,59
2014-04-30,59,59
2014-05-01,59,59
2014-05-02,55,55
2014-05-03,61,61
2014-05-04,62,62
2014-05-05,58,58
2014-05-06,68,68
2014-05-07,73,73
2014-05-08,84,84
2014-05-09,83,83
2014-05-10,68,68
2014-05-11,73,73
2014-05-12,76,76
2014-05-13,87,87
2014-05-14,83,83
2014-05-15,69,69
2014-05-16,57,57
2014-05-17,54,54
2014-05-18,62,62
2014-05-19,70,70
2014-05-20,74,74
2014-05-21,73,73
2014-05-22,78,78
2014-05-23,64,64
2014-05-24,75,75
2014-05-25,78,78
2014-05-26,83,83
2014-05-27,84,84
2014-05-28,80,80
2014-05-29,78,78
2014-05-30,77,77
2014-05-31,78,78
2014-06-01,82,82
2014-06-02,78,78
2014-06-03,83,83
2014-06-04,74,74
2014-06-05,69,69
2014-06-06,75,75
2014-06-07,79,79
2014-06-08,78,78
2014-06-09,68,68
2014-06-10,74,74
2014-06-11,80,80
2014-06-12,80,80
2014-06-13,77,77
2014-06-14,71,71
2014-06-15,81,81
2014-06-16,85,85
2014-06-17,88,88
2014-06-18,88,88
2014-06-19,75,75
2014-06-20,80,80
2014-06-21,74,74
2014-06-22,80,80
2014-06-23,85,85
2014-06-24,86,86
2014-06-25,77,77
2014-06-26,79,79
2014-06-27,85,85
2014-06-28,87,87
2014-06-29,83,83
2014-06-30,85,85
2014-07-01,87,87
2014-07-02,85,85
2014-07-03,80,80
2014-07-04,74,74
2014-07-05,77,77
2014-07-06,80,80
2014-07-07,84,84
2014-07-08,81,81
2014-07-09,81,81
2014-07-10,81,81
2014-07-11,84,84
2014-07-12,85,85
2014-07-13,83,83
2014-07-14,80,80
2014-07-15,78,78
2014-07-16,71,71
2014-07-17,75,75
2014-07-18,76,76
2014-07-19,68,68
2014-07-20,80,80
2014-07-21,85,85
2014-07-22,87,87
2014-07-23,84,84
2014-07-24,76,76
2014-07-25,78,78
2014-07-26,83,83
2014-07-27,82,82
2014-07-28,69,69
2014-07-29,67,67
2014-07-30,72,72
2014-07-31,77,77
2014-08-01,82,82
2014-08-02,80,80
2014-08-03,75,75
2014-08-04,81,81
2014-08-05,80,80
2014-08-06,79,79
2014-08-07,78,78
2014-08-08,79,79
2014-08-09,82,82
2014-08-10,84,84
2014-08-11,72,72
2014-08-12,80,80
2014-08-13,72,72
2014-08-14,71,71
2014-08-15,70,70
2014-08-16,76,76
2014-08-17,77,77
2014-08-18,82,82
2014-08-19,84,84
2014-08-20,80,80
2014-08-21,78,78
2014-08-22,81,81
2014-08-23,81,81
2014-08-24,79,79
2014-08-25,79,79
2014-08-26,82,82
2014-08-27,84,84
2014-08-28,74,74
2014-08-29,78,78
2014-08-30,87,87
2014-08-31,76,76
2014-09-01,83,83
2014-09-02,81,81
2014-09-03,81,81
2014-09-04,84,84
2014-09-05,86,86
2014-09-06,79,79
2014-09-07,73,73
2014-09-08,77,77
2014-09-09,78,78
2014-09-10,82,82
2014-09-11,75,75
2014-09-12,61,61
2014-09-13,64,64
2014-09-14,64,64
2014-09-15,67,67
2014-09-16,66,66
2014-09-17,68,68
2014-09-18,69,69
2014-09-19,74,74
2014-09-20,77,77
2014-09-21,79,79
2014-09-22,57,57
2014-09-23,68,68
2014-09-24,75,75
2014-09-25,74,74
2014-09-26,78,78
2014-09-27,77,77
2014-09-28,73,73
2014-09-29,79,79
2014-09-30,69,69
2014-10-01,66,66
2014-10-02,76,76
2014-10-03,75,75
2014-10-04,59,59
2014-10-05,52,52
2014-10-06,65,65
2014-10-07,65,65
2014-10-08,63,63
2014-10-09,60,60
2014-10-10,58,58
2014-10-11,59,59
2014-10-12,64,64
2014-10-13,72,72
2014-10-14,79,79
2014-10-15,64,64
2014-10-16,59,59
2014-10-17,69,69
2014-10-18,61,61
2014-10-19,53,53
2014-10-20,57,57
2014-10-21,54,54
2014-10-22,50,50
2014-10-23,60,60
2014-10-24,60,60
2014-10-25,66,66
2014-10-26,61,61
2014-10-27,72,72
2014-10-28,76,76
2014-10-29,56,56
2014-10-30,48,48
2014-10-31,46,46
2014-11-01,44,44
2014-11-02,46,46
2014-11-03,56,56
2014-11-04,66,66
2014-11-05,54,54
2014-11-06,50,50
2014-11-07,45,45
2014-11-08,49,49
2014-11-09,49,49
2014-11-10,64,64
2014-11-11,69,69
2014-11-12,56,56
2014-11-13,35,35
2014-11-14,33,33
2014-11-15,35,35
2014-11-16,39,39
2014-11-17,36,36
2014-11-18,20,20
2014-11-19,37,37
2014-11-20,35,35
2014-11-21,27,27
2014-11-22,51,51
2014-11-23,63,63
2014-11-24,68,68
2014-11-25,47,47
2014-11-26,33,33
2014-11-27,34,34
2014-11-28,28,28
2014-11-29,52,52
2014-11-30,62,62
2014-12-01,61,61
2014-12-02,41,41
2014-12-03,42,42
2014-12-04,35,35
2014-12-05,42,42
2014-12-06,42,42
2014-12-07,40,40
2014-12-08,40,40
2014-12-09,45,45
2014-12-10,37,37
2014-12-11,33,33
2014-12-12,31,31
2014-12-13,37,37
2014-12-14,44,44
2014-12-15,48,48
2014-12-16,53,53
2014-12-17,42,42
2014-12-18,29,29
2014-12-19,31,31
2014-12-20,31,31
2014-12-21,33,33
2014-12-22,45,45
2014-12-23,53,53
2014-12-24,60,60
2014-12-25,41,41
2014-12-26,49,49
2014-12-27,57,57
2014-12-28,46,46
2014-12-29,36,36
2014-12-30,31,31
2014-12-31,25,25
2015-01-01,35,33
2015-01-02,36,30
2015-01-03,59,15
2015-01-04,60,37
2015-01-05,30,46
2015-01-06,20,49
2015-01-07,15,4
2015-01-08,20,23
2015-01-09,21,33
2015-01-10,16,46
2015-01-11,37,54
2015-01-12,36,36
2015-01-13,25,55
2015-01-14,24,48
2015-01-15,30,40
2015-01-16,33,32
2015-01-17,50,38
2015-01-18,45,21
2015-01-19,38,33
2015-01-20,34,36
2015-01-21,36,22
2015-01-22,34,11
2015-01-23,34,13
2015-01-24,32,19
2015-01-25,35,27
2015-01-26,29,36
2015-01-27,22,43
2015-01-28,24,7
2015-01-29,39,16
2015-01-30,31,33
2015-01-31,28,37
2015-02-01,36,52
2015-02-02,39,51
2015-02-03,27,31
2015-02-04,42,31
2015-02-05,23,34
2015-02-06,28,23
2015-02-07,46,21
2015-02-08,53,22
2015-02-09,44,28
2015-02-10,31,21
2015-02-11,37,21
2015-02-12,33,28
2015-02-13,20,31
2015-02-14,29,34
2015-02-15,5,28
2015-02-16,10,27
2015-02-17,20,32
2015-02-18,20,45
2015-02-19,6,50
2015-02-20,11,54
2015-02-21,34,55
2015-02-22,33,52
2015-02-23,20,42
2015-02-24,26,32
2015-02-25,33,26
2015-02-26,21,24
2015-02-27,17,21
2015-02-28,25,26
2015-03-01,34,47
2015-03-02,32,38
2015-03-03,49,19
2015-03-04,43,33
2015-03-05,26,31
2015-03-06,23,37
2015-03-07,40,53
2015-03-08,45,51
2015-03-09,52,40
2015-03-10,45,57
2015-03-11,43,66
2015-03-12,50,50
2015-03-13,58,26
2015-03-14,55,59
2015-03-15,46,54
2015-03-16,66,32
2015-03-17,58,36
2015-03-18,44,51
2015-03-19,46,53
2015-03-20,42,45
2015-03-21,55,45
2015-03-22,40,54
2015-03-23,38,36
2015-03-24,47,33
2015-03-25,69,38
2015-03-26,47,28
2015-03-27,36,54
2015-03-28,29,61
2015-03-29,45,54
2015-03-30,52,47
2015-03-31,59,61
2015-04-01,58,77
2015-04-02,69,60
2015-04-03,63,59
2015-04-04,48,65
2015-04-05,63,44
2015-04-06,68,55
2015-04-07,63,53
2015-04-08,70,59
2015-04-09,76,57
2015-04-10,67,71
2015-04-11,56,66
2015-04-12,68,73
2015-04-13,80,82
2015-04-14,63,74
2015-04-15,66,64
2015-04-16,60,43
2015-04-17,71,63
2015-04-18,77,67
2015-04-19,71,64
2015-04-20,73,72
2015-04-21,57,78
2015-04-22,51,70
2015-04-23,44,49
2015-04-24,56,59
2015-04-25,53,63
2015-04-26,58,69
2015-04-27,48,63
2015-04-28,63,58
2015-04-29,69,59
2015-04-30,59,59
2015-05-01,68,59
2015-05-02,72,55
2015-05-03,77,61
2015-05-04,81,62
2015-05-05,74,58
2015-05-06,83,68
2015-05-07,85,73
2015-05-08,87,84
2015-05-09,87,83
2015-05-10,87,68
2015-05-11,87,73
2015-05-12,72,76
2015-05-13,53,87
2015-05-14,68,83
2015-05-15,79,69
2015-05-16,77,57
2015-05-17,79,54
2015-05-18,82,62
2015-05-19,76,70
2015-05-20,55,74
2015-05-21,54,73
2015-05-22,68,78
2015-05-23,72,64
2015-05-24,80,75
2015-05-25,82,78
2015-05-26,80,83
2015-05-27,81,84
2015-05-28,80,80
2015-05-29,86,78
2015-05-30,82,77
2015-05-31,83,78
2015-06-01,57,82
2015-06-02,63,78
2015-06-03,71,83
2015-06-04,77,74
2015-06-05,82,69
2015-06-06,75,75
2015-06-07,84,79
2015-06-08,79,78
2015-06-09,75,68
2015-06-10,86,74
2015-06-11,89,80
2015-06-12,90,80
2015-06-13,83,77
2015-06-14,85,71
2015-06-15,83,81
2015-06-16,81,85
2015-06-17,72,88
2015-06-18,84,88
2015-06-19,77,75
2015-06-20,76,80
2015-06-21,84,74
2015-06-22,85,80
2015-06-23,84,85
2015-06-24,79,86
2015-06-25,75,77
2015-06-26,81,79
2015-06-27,75,85
2015-06-28,66,87
2015-06-29,75,83
2015-06-30,77,85
2015-07-01,75,87
2015-07-02,77,85
2015-07-03,79,80
2015-07-04,80,74
2015-07-05,82,77
2015-07-06,79,80
2015-07-07,85,84
2015-07-08,73,81
2015-07-09,81,81
2015-07-10,73,81
2015-07-11,82,84
2015-07-12,79,85
2015-07-13,80,83
2015-07-14,80,80
2015-07-15,75,78
2015-07-16,79,71
2015-07-17,83,75
2015-07-18,87,76
2015-07-19,88,68
2015-07-20,85,80
2015-07-21,83,85
2015-07-22,77,87
2015-07-23,81,84
2015-07-24,85,76
2015-07-25,86,78
2015-07-26,85,83
2015-07-27,89,82
2015-07-28,91,69
2015-07-29,91,67
2015-07-30,87,72
2015-07-31,86,77
2015-08-01,82,82
2015-08-02,86,80
2015-08-03,82,75
2015-08-04,82,81
2015-08-05,79,80
2015-08-06,71,79
2015-08-07,77,78
2015-08-08,83,79
2015-08-09,84,82
2015-08-10,84,84
2015-08-11,81,72
2015-08-12,78,80
2015-08-13,78,72
2015-08-14,86,71
2015-08-15,86,70
2015-08-16,88,76
2015-08-17,89,77
2015-08-18,80,82
