ds,y,y_lag365
2014-01-01,24,24
2014-01-02,12,12
2014-01-03,7,7
2014-01-04,8,8
2014-01-05,22,22
2014-01-06,-7,-7
2014-01-07,-9,-9
2014-01-08,2,2
2014-01-09,18,18
2014-01-10,30,30
2014-01-11,37,37
2014-01-12,30,30
2014-01-13,32,32
2014-01-14,34,34
2014-01-15,24,24
2014-01-16,17,17
2014-01-17,23,23
2014-01-18,10,10
2014-01-19,17,17
2014-01-20,24,24
2014-01-21,2,2
2014-01-22,-5,-5
2014-01-23,5,5
2014-01-24,1,1
2014-01-25,13,13
2014-01-26,7,7
2014-01-27,1,1
2014-01-28,-8,-8
2014-01-29,-4,-4
2014-01-30,3,3
2014-01-31,32,32
2014-02-01,32,32
2014-02-02,27,27
2014-02-03,20,20
2014-02-04,16,16
2014-02-05,21,21
2014-02-06,11,11
2014-02-07,9,9
2014-02-08,4,4
2014-02-09,16,16
2014-02-10,9,9
2014-02-11,2,2
2014-02-12,3,3
2014-02-13,22,22
2014-02-14,25,25
2014-02-15,12,12
2014-02-16,12,12
2014-02-17,4,4
2014-02-18,30,30
2014-02-19,31,31
2014-02-20,26,26
2014-02-21,37,37
2014-02-22,37,37
2014-02-23,28,28
2014-02-24,23,23
2014-02-25,19,19
2014-02-26,14,14
2014-02-27,6,6
2014-02-28,2,2
2014-03-01,18,18
2014-03-02,14,14
2014-03-03,8,8
2014-03-04,5,5
2014-03-05,18,18
2014-03-06,17,17
2014-03-07,24,24
2014-03-08,30,30
2014-03-09,19,19
2014-03-10,36,36
2014-03-11,46,46
2014-03-12,17,17
2014-03-13,10,10
2014-03-14,26,26
2014-03-15,32,32
2014-03-16,24,24
2014-03-17,25,25
2014-03-18,28,28
2014-03-19,37,37
2014-03-20,36,36
2014-03-21,25,25
2014-03-22,36,36
2014-03-23,19,19
2014-03-24,14,14
2014-03-25,21,21
2014-03-26,16,16
2014-03-27,18,18
2014-03-28,41,41
2014-03-29,34,34
2014-03-30,32,32
2014-03-31,26,26
2014-04-01,38,38
2014-04-02,43,43
2014-04-03,44,44
2014-04-04,44,44
2014-04-05,34,34
2014-04-06,27,27
2014-04-07,45,45
2014-04-08,42,42
2014-04-09,39,39
2014-04-10,38,38
2014-04-11,45,45
2014-04-12,35,35
2014-04-13,62,62
2014-04-14,61,61
2014-04-15,28,28
2014-04-16,25,25
2014-04-17,35,35
2014-04-18,41,41
2014-04-19,45,45
2014-04-20,43,43
2014-04-21,47,47
2014-04-22,47,47
2014-04-23,38,38
2014-04-24,30,30
2014-04-25,46,46
2014-04-26,43,43
2014-04-27,35,35
2014-04-28,45,45
2014-04-29,50,50
2014-04-30,49,49
2014-05-01,52,52
2014-05-02,48,48
2014-05-03,49,49
2014-05-04,45,45
2014-05-05,35,35
2014-05-06,43,43
2014-05-07,47,47
2014-05-08,53,53
2014-05-09,62,62
2014-05-10,58,58
2014-05-11,56,56
2014-05-12,60,60
2014-05-13,62,62
2014-05-14,64,64
2014-05-15,52,52
2014-05-16,45,45
2014-05-17,45,45
2014-05-18,41,41
2014-05-19,40,40
2014-05-20,48,48
2014-05-21,60,60
2014-05-22,57,57
2014-05-23,50,50
2014-05-24,48,48
2014-05-25,49,49
2014-05-26,53,53
2014-05-27,64,64
2014-05-28,65,65
2014-05-29,62,62
2014-05-30,59,59
2014-05-31,55,55
2014-06-01,56,56
2014-06-02,65,65
2014-06-03,69,69
2014-06-04,59,59
2014-06-05,55,55
2014-06-06,50,50
2014-06-07,53,53
2014-06-08,60,60
2014-06-09,61,61
2014-06-10,59,59
2014-06-11,64,64
2014-06-12,66,66
2014-06-13,61,61
2014-06-14,52,52
2014-06-15,51,51
2014-06-16,61,61
2014-06-17,67,67
2014-06-18,68,68
2014-06-19,67,67
2014-06-20,61,61
2014-06-21,63,63
2014-06-22,59,59
2014-06-23,64,64
2014-06-24,69,69
2014-06-25,67,67
2014-06-26,64,64
2014-06-27,64,64
2014-06-28,68,68
2014-06-29,70,70
2014-06-30,69,69
2014-07-01,72,72
2014-07-02,71,71
2014-07-03,64,64
2014-07-04,58,58
2014-07-05,51,51
2014-07-06,57,57
2014-07-07,68,68
2014-07-08,68,68
2014-07-09,65,65
2014-07-10,63,63
2014-07-11,62,62
2014-07-12,65,65
2014-07-13,72,72
2014-07-14,68,68
2014-07-15,63,63
2014-07-16,55,55
2014-07-17,52,52
2014-07-18,57,57
2014-07-19,63,63
2014-07-20,64,64
2014-07-21,68,68
2014-07-22,69,69
2014-07-23,66,66
2014-07-24,61,61
2014-07-25,52,52
2014-07-26,63,63
2014-07-27,68,68
2014-07-28,57,57
2014-07-29,52,52
2014-07-30,53,53
2014-07-31,57,57
2014-08-01,59,59
2014-08-02,65,65
2014-08-03,64,64
2014-08-04,57,57
2014-08-05,61,61
2014-08-06,64,64
2014-08-07,56,56
2014-08-08,57,57
2014-08-09,59,59
2014-08-10,64,64
2014-08-11,63,63
2014-08-12,64,64
2014-08-13,57,57
2014-08-14,54,54
2014-08-15,50,50
2014-08-16,49,49
2014-08-17,66,66
2014-08-18,64,64
2014-08-19,65,65
